"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.558298906E1,-3.485957623E0,8.465897560E0,1.310107136E1
2.558799531E1,-2.528276920E0,8.734047890E0,1.164539719E1
2.559300000E1,-1.685518026E0,9.270348549E0,9.959878922E0
2.559800625E1,-8.044517636E-1,9.921571732E0,8.159439087E0
2.560301250E1,3.830722570E-1,1.061110210E1,6.129156113E0
2.560798594E1,1.379060149E0,1.141555405E1,3.907337189E0
2.561299063E1,2.030282974E0,1.187524033E1,1.838746905E0
2.561799688E1,2.451662540E0,1.218169785E1,1.915361285E-1
2.562300312E1,2.451662540E0,1.244984913E1,-4.596867263E-1
2.562800781E1,2.183511972E0,1.237323475E1,3.830722719E-2
2.563298281E1,1.493981838E0,1.214339066E1,1.877054095E0
2.563798750E1,8.810662031E-1,1.179862595E1,4.481945515E0
2.564299219E1,3.447650373E-1,1.110909557E1,7.354987621E0
2.564800000E1,-1.915361285E-1,1.022802925E1,9.883264542E0
2.565300469E1,-5.363011956E-1,9.117119789E0,1.195185471E1
2.565800938E1,-7.278373241E-1,8.006210327E0,1.329260826E1
2.566298438E1,-7.661445141E-1,6.933608055E0,1.382890892E1
2.566798906E1,-7.278373241E-1,6.090848923E0,1.379060173E1
2.567299531E1,-5.363011956E-1,5.286397457E0,1.279461384E1
2.567800156E1,-4.213795066E-1,4.788403511E0,1.130063248E1
2.568300625E1,-2.298433632E-1,4.290409565E0,9.308655739E0
2.568801250E1,-3.830722719E-2,4.175487995E0,7.125144482E0
2.569298594E1,1.532289088E-1,4.022258759E0,5.018246651E0
2.569799219E1,2.298433632E-1,3.983951569E0,3.179499865E0
2.570299688E1,3.830722570E-1,3.983951569E0,1.685518026E0
2.570800312E1,4.213795066E-1,3.945644379E0,7.278373241E-1
2.571300938E1,5.746083856E-1,3.830722809E0,1.532289088E-1
2.571798281E1,8.044517636E-1,3.715801001E0,7.661445439E-2
2.572298906E1,8.810662031E-1,3.600879431E0,3.447650373E-1
2.572799375E1,1.110909581E0,3.485957623E0,8.810662031E-1
2.573300000E1,1.302445769E0,3.371036053E0,1.532289028E0
2.573800469E1,1.417367458E0,3.256114244E0,2.260126352E0
2.574301094E1,1.532289028E0,3.141192675E0,2.987963676E0
2.574798438E1,1.608903527E0,2.873042107E0,3.562572241E0
2.575299219E1,1.608903527E0,2.643198729E0,3.907337189E0
2.575799531E1,1.685518026E0,2.566584110E0,3.869029999E0
2.576300312E1,1.762132406E0,2.451662540E0,3.830722809E0
2.576800781E1,1.762132406E0,2.566584110E0,3.639186621E0
2.577298125E1,1.877054095E0,2.796427488E0,3.332728863E0
2.577798750E1,1.877054095E0,3.141192675E0,3.102885485E0
2.578299219E1,1.838746905E0,3.409343243E0,2.834734917E0
2.578799844E1,1.723825216E0,3.715801001E0,2.451662540E0
2.579300313E1,1.608903527E0,3.983951569E0,2.183511972E0
2.579800938E1,1.379060149E0,4.367023945E0,1.800439715E0
2.580298281E1,1.149216771E0,4.635174274E0,1.379060149E0
2.580798906E1,1.187524080E0,4.865017891E0,1.225831270E0
2.581299375E1,1.225831270E0,5.056553841E0,1.072602391E0
2.581800000E1,1.225831270E0,5.209783077E0,1.187524080E0
2.582300625E1,1.570596337E0,5.209783077E0,1.340752959E0
2.582801094E1,1.953668594E0,5.094861031E0,1.570596337E0
2.583298594E1,2.413355350E0,4.865017891E0,1.877054095E0
2.583799063E1,2.873042107E0,4.635174274E0,2.183511972E0
2.584299688E1,3.256114244E0,4.252102375E0,2.375048161E0
2.584800312E1,3.562572241E0,4.060565948E0,2.643198729E0
2.585300781E1,3.830722809E0,3.869029999E0,3.026270866E0
2.585798125E1,3.945644379E0,3.754108191E0,3.485957623E0
2.586298750E1,4.098873138E0,3.754108191E0,3.792415380E0
2.586799375E1,4.060565948E0,3.907337189E0,4.098873138E0
2.587299844E1,3.869029999E0,4.213795185E0,4.252102375E0
2.587800469E1,3.792415380E0,4.520252705E0,4.520252705E0
2.588300938E1,3.639186621E0,4.941632271E0,5.018246651E0
2.588798438E1,3.409343243E0,5.439626217E0,5.669469833E0
2.589298906E1,3.179499865E0,5.937620163E0,6.282385349E0
2.589799375E1,2.834734917E0,6.473921299E0,6.818686485E0
2.590300156E1,2.643198729E0,6.856993675E0,7.393294811E0
2.590800625E1,2.489969730E0,7.163451672E0,7.967903137E0
2.591301250E1,2.375048161E0,7.661445618E0,8.580819130E0
2.591798594E1,2.489969730E0,7.967903137E0,9.002198219E0
2.592299062E1,2.489969730E0,7.967903137E0,9.615114212E0
2.592799688E1,2.949656487E0,8.274360657E0,9.232041359E0
2.593300313E1,3.830722809E0,8.580819130E0,9.078812599E0
2.593800781E1,4.596867085E0,8.963891029E0,8.427590370E0
2.594298281E1,5.209783077E0,9.193734169E0,7.661445618E0
2.594798750E1,5.631162167E0,9.270348549E0,6.627150536E0
2.595299375E1,5.899312973E0,9.346963882E0,5.401319027E0
2.595799844E1,5.861005783E0,9.576807022E0,3.907337189E0
2.596300469E1,5.592854977E0,9.844957352E0,2.145204782E0
2.596801094E1,5.171475887E0,1.022802925E1,6.129156351E-1
2.597298438E1,4.788403511E0,1.080263805E1,-6.129156351E-1
2.597798906E1,4.443638325E0,1.126232433E1,-1.225831270E0
2.598299531E1,4.022258759E0,1.164539719E1,-1.264138460E0
2.598800156E1,3.562572241E0,1.187524033E1,-7.661445141E-1
2.599300938E1,3.141192675E0,1.172201157E1,3.064578176E-1
2.599801250E1,2.719813108E0,1.118570995E1,1.877054095E0
2.600298594E1,2.451662540E0,1.045787334E1,3.447650433E0
2.600799219E1,2.375048161E0,9.308655739E0,5.056553841E0
2.601299688E1,2.260126352E0,8.082824707E0,6.358999729E0
2.601800312E1,2.183511972E0,6.665457726E0,7.546523571E0
2.602300938E1,2.068590164E0,5.324704647E0,8.427590370E0
2.602798281E1,1.877054095E0,3.983951569E0,9.040505409E0
2.603298906E1,1.685518026E0,2.873042107E0,9.576807022E0
2.603799375E1,1.302445769E0,1.915361404E0,9.844957352E0
2.604300000E1,8.044517636E-1,1.264138460E0,9.883264542E0
2.604800469E1,2.681505978E-1,7.661445141E-1,9.768342972E0
2.605301094E1,-3.830722570E-1,2.681505978E-1,9.730035782E0
2.605798594E1,-1.110909581E0,0.000000000E0,9.576807022E0
2.606299062E1,-1.877054095E0,-2.298433632E-1,9.576807022E0
2.606799688E1,-2.719813108E0,-2.681505978E-1,9.576807022E0
2.607300156E1,-3.639186621E0,-1.149216816E-1,9.538499832E0
2.607800781E1,-4.481945515E0,-3.830722719E-2,9.461885452E0
2.608298125E1,-5.363011837E0,1.149216816E-1,9.193734169E0
2.608798750E1,-6.129156113E0,1.915361285E-1,9.002198219E0
2.609299219E1,-6.780379295E0,2.298433632E-1,8.580819130E0
2.609799844E1,-7.431602001E0,2.681505978E-1,8.236053467E0
2.610300312E1,-7.776367188E0,1.532289088E-1,7.661445618E0
2.610800938E1,-8.044517517E0,3.830722719E-2,7.201758862E0
2.611298438E1,-8.236053467E0,-1.532289088E-1,6.856993675E0
2.611798906E1,-8.350975990E0,-3.447650373E-1,6.627150536E0
2.612299375E1,-8.236053467E0,-5.363011956E-1,6.588842869E0
2.612800156E1,-7.852981567E0,-8.044517636E-1,6.703764915E0
2.613300625E1,-7.469909191E0,-1.110909581E0,6.780379295E0
2.613801094E1,-7.086836815E0,-1.417367458E0,7.010222435E0
2.614298594E1,-6.895300865E0,-1.762132406E0,7.086836815E0
2.614799063E1,-6.512228489E0,-1.991975784E0,7.048529625E0
2.615299688E1,-6.282385349E0,-2.183511972E0,6.818686485E0
2.615800312E1,-5.975927353E0,-2.298433542E0,6.397306919E0
2.616300781E1,-5.669469833E0,-2.336740971E0,5.899312973E0
2.616798125E1,-5.363011837E0,-2.413355350E0,5.133168221E0
2.617298750E1,-5.171475887E0,-2.221819162E0,4.481945515E0
2.617799375E1,-5.018246651E0,-2.030282974E0,3.677493811E0
2.618299844E1,-5.018246651E0,-1.608903527E0,3.102885485E0
2.618800469E1,-5.248090267E0,-9.193734527E-1,2.911349297E0
2.619300938E1,-5.439626217E0,-3.064578176E-1,3.217807055E0
2.619798438E1,-5.592854977E0,2.681505978E-1,4.290409565E0
2.620298906E1,-5.669469833E0,9.576807022E-1,6.052541733E0
2.620799531E1,-5.784391403E0,1.608903527E0,8.312667847E0
2.621300156E1,-5.784391403E0,2.260126352E0,1.076433086E1
2.621800625E1,-5.822698593E0,2.949656487E0,1.333091545E1
2.622301094E1,-5.899312973E0,3.869029999E0,1.570596313E1
2.622798594E1,-5.707777023E0,4.979939461E0,1.773624611E1
2.623299219E1,-5.018246651E0,5.975927353E0,1.884715652E1
2.623799688E1,-4.290409565E0,6.971915245E0,1.923022842E1
2.624300312E1,-3.409343243E0,7.967903137E0,1.903869247E1
2.624800781E1,-2.413355350E0,9.002198219E0,1.846408272E1
2.625298281E1,-1.110909581E0,1.015141487E1,1.765963173E1
2.625798750E1,3.064578176E-1,1.141555405E1,1.693179512E1
