"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.270001563E0,1.098399997E0,-8.499000072E-1,2.863999844E0
1.279982813E0,1.092499971E0,-9.739999771E-1,2.343999863E0
1.289993750E0,8.946999907E-1,-1.128199935E0,1.940400004E0
1.299973438E0,7.032999992E-1,-9.804999828E-1,1.774099946E0
1.309984375E0,4.833999872E-1,-8.033999801E-1,1.803900003E0
1.319995313E0,3.551999927E-1,-4.834999740E-1,2.186199903E0
1.329975000E0,9.109999985E-2,-2.078999877E-1,2.603299856E0
1.339985938E0,-1.867999882E-1,2.389999852E-2,2.740200043E0
1.349996875E0,-5.522999763E-1,4.005999863E-1,2.910399914E0
1.359976563E0,-1.040499926E0,7.268999815E-1,2.956399918E0
1.369989063E0,-1.314399958E0,8.870999813E-1,3.118099928E0
1.380000000E0,-1.619300008E0,1.036700010E0,3.163199902E0
1.389979688E0,-1.722799897E0,1.029899955E0,3.248299837E0
1.399990625E0,-1.677699924E0,1.204699993E0,2.867799997E0
1.410001563E0,-1.411999941E0,1.363299966E0,2.493499994E0
1.419981250E0,-1.094900012E0,1.422500014E0,1.421399951E0
1.429993750E0,-7.669999599E-1,1.580299973E0,2.392999977E-1
1.439971875E0,-4.338999987E-1,1.566499949E0,-1.052500010E0
1.449982813E0,-2.029999942E-1,1.533899903E0,-2.259299994E0
1.459995313E0,-3.246999979E-1,1.337299943E0,-3.111599922E0
1.469973438E0,-5.600000024E-1,1.166000009E0,-3.765899897E0
1.479984375E0,-9.373999834E-1,9.795999527E-1,-4.262599945E0
1.489996875E0,-1.260800004E0,7.554999590E-1,-4.760799885E0
1.499976563E0,-1.633199930E0,5.412999988E-1,-4.754399776E0
1.509987500E0,-2.002399921E0,5.245999694E-1,-4.400399685E0
1.519998438E0,-2.142999887E0,5.433999896E-1,-3.812799931E0
1.529978125E0,-1.917999983E0,6.667000055E-1,-3.064199924E0
1.539989063E0,-1.880299926E0,8.478999734E-1,-2.661599874E0
1.550000000E0,-1.648999929E0,9.419999719E-1,-2.526900053E0
1.559979688E0,-1.349699974E0,1.022699952E0,-2.854199886E0
1.569992188E0,-1.096899986E0,9.009999633E-1,-3.370699883E0
1.580001563E0,-7.444999814E-1,8.453999758E-1,-3.760299921E0
1.589982813E0,-4.116999805E-1,7.019999623E-1,-4.102099895E0
1.599993750E0,-2.166000009E-1,5.985000134E-1,-3.889499903E0
1.609973438E0,-5.059999973E-2,5.733000040E-1,-3.514699936E0
1.619984375E0,1.829999872E-2,3.874000013E-1,-3.251399994E0
1.629995313E0,-9.099999443E-3,1.246999949E-1,-2.983999968E0
1.639975000E0,-8.309999853E-2,-2.171999961E-1,-2.633299828E0
1.649985938E0,-1.933999956E-1,-5.048999786E-1,-2.324100018E0
1.659996875E0,-5.469999909E-1,-8.422999978E-1,-1.632799983E0
1.669976563E0,-9.368999600E-1,-9.774999619E-1,-5.686999559E-1
1.679987500E0,-6.166999936E-1,-8.296999931E-1,5.133000016E-1
1.690000000E0,-2.561999857E-1,-8.561999798E-1,1.841399908E0
1.699979688E0,-1.620000005E-1,-9.390999675E-1,3.101999998E0
1.709990625E0,6.839999557E-2,-1.108099937E0,3.603799820E0
1.720001563E0,2.741999924E-1,-1.115399957E0,3.359400034E0
1.729981250E0,4.134999812E-1,-7.973999977E-1,2.343299866E0
1.739992188E0,4.553000033E-1,-4.362999797E-1,1.028599977E0
1.749971875E0,5.133999586E-1,1.175999939E-1,2.019999921E-1
1.759982813E0,5.475000143E-1,4.987999797E-1,3.621999919E-1
1.769995313E0,7.920999527E-1,6.529999971E-1,1.538299918E0
1.779975000E0,1.141999960E0,2.947999835E-1,3.130699873E0
1.789985938E0,1.360099912E0,-1.771999896E-1,4.392099857E0
1.799996875E0,1.234899998E0,-5.494999886E-1,4.469799995E0
1.809976563E0,1.196799994E0,-7.184000015E-1,3.605299950E0
1.819987500E0,1.089200020E0,-8.134999871E-1,2.351999998E0
1.829998438E0,1.257900000E0,-8.370999694E-1,9.460999966E-1
1.839978125E0,1.578899980E0,-6.372999549E-1,-6.149999797E-2
